x,y,inner_offset,outer_offset
181.44789504467875,44.87579708627242,6.0,6.0
182.8625144834205,45.3078759573533,6.0,6.0
184.2775891399491,45.73384143626156,6.0,6.0
185.69326803469912,46.15356664229889,6.0,6.0
187.10970018810505,46.56692469476699,6.0,6.0
188.52703462060148,46.973788712967576,6.0,6.0
189.94542035262293,47.37403181620233,6.0,6.0
191.36500640460392,47.767527123772936,6.0,6.0
192.78594179697905,48.15414775498112,6.0,6.0
194.20837555018272,48.53376682912854,6.0,6.0
195.63245668464964,48.90625746551693,6.0,6.0
197.05833422081423,49.27149278344797,6.0,6.0
198.4861571791111,49.62934590222336,6.0,6.0
199.91607457997472,49.97968994114477,6.0,6.0
201.3482134753605,50.32242143964319,6.0,6.0
202.7825961032465,50.65754867710538,6.0,6.0
